1.01.02.2.01	Pengelolaan Pendidikan Sekolah Dasar
2.18.01.2.02	Administrasi Keuangan Perangkat Daerah
2.18.01.2.06	Administrasi Umum Perangkat Daerah
2.18.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
2.18.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
2.18.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.23.02.2.01	Pengelolaan Perpustakaan Tingkat Daerah Kabupaten/Kota
2.23.02.2.02	Pembudayaan Gemar Membaca Tingkat Daerah Kabupaten/Kota
2.23.03.2.01	Pelestarian Naskah Kuno Milik Daerah Kabupaten/Kota
2.24.02.2.01	Pengelolaan Arsip Dinamis Daerah Kabupaten/Kota
2.24.03.2.04	Autentikasi Arsip Statis dan Arsip Hasil Alih Media Kabupaten/Kota
2.24.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
2.24.01.2.02	Administrasi Keuangan Perangkat Daerah
2.24.01.2.06	Administrasi Umum Perangkat Daerah
2.24.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
2.24.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.22.02.2.01	Pengelolaan Kebudayaan yang Masyarakat Pelakunya dalam Daerah Kabupaten/Kota
2.22.02.2.02	Pelestarian Kesenian Tradisional yang Masyarakat Pelakunya dalam Daerah Kabupaten/Kota
2.22.02.2.03	Pembinaan Lembaga Adat yang Penganutnya dalam Daerah Kabupaten/Kota
2.22.05.2.01	Penetapan Cagar Budaya Peringkat Kabupaten/Kota
3.26.02.2.01	Pengelolaan Daya Tarik Wisata Kabupaten/Kota
3.26.02.2.03	Pengelolaan Destinasi Pariwisata Kabupaten/Kota
3.26.03.2.01	Pemasaran Pariwisata Dalam dan Luar Negeri Daya Tarik, Destinasi dan Kawasan Strategis Pariwisata Kabupaten/Kota
3.26.05.2.01	Pelaksanaan Peningkatan Kapasitas Sumber Daya Manusia Pariwisata dan Ekonomi Kreatif Tingkat Dasar
3.26.05.2.02	Pengembangan Kapasitas Pelaku Ekonomi Kreatif
3.26.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
3.26.01.2.02	Administrasi Keuangan Perangkat Daerah
3.26.01.2.06	Administrasi Umum Perangkat Daerah
3.26.01.2.07	Pengadaan Barang Milik Daerah Penunjang Urusan Pemerintah Daerah
3.26.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
3.26.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.09.02.2.01	Penyediaan Infrastruktur dan Seluruh Pendukung Kemandirian Pangan sesuai Kewenangan Daerah Kabupaten/Kota
2.09.03.2.01	Penyediaan dan Penyaluran Pangan Pokok atau Pangan Lainnya sesuai dengan Kebutuhan Daerah Kabupaten/Kota dalam rangka Stabilisasi Pasokan dan Harga Pangan
2.09.03.2.02	Pengelolaan dan Keseimbangan Cadangan Pangan Kabupaten/Kota
2.09.03.2.04	Pelaksanaan Pencapaian Target Konsumsi Pangan Perkapita/Tahun sesuai dengan Angka Kecukupan Gizi
2.09.04.2.02	Penanganan Kerawanan Pangan Kewenangan Kabupaten/Kota
2.09.05.2.01	Pelaksanaan Pengawasan Keamanan Pangan Segar Daerah Kabupaten/Kota
3.25.03.2.02	Pemberdayaan Nelayan Kecil dalam Daerah Kabupaten/Kota
3.25.04.2.02	Pemberdayaan Pembudi Daya Ikan Kecil
3.25.04.2.04	Pengelolaan Pembudidayaan Ikan
3.25.05.2.01	Pengawasan Sumber Daya Perikanan di Wilayah Sungai, Danau, Waduk, Rawa, dan Genangan Air Lainnya yang Dapat Diusahakan Dalam Kabupaten/Kota
3.25.06.2.03	Penyediaan dan Penyaluran Bahan Baku Industri Pengolahan Ikan dalam 1 (Satu) Daerah Kabupaten/ Kota
3.27.02.2.01	Pengawasan Penggunaan Sarana Pertanian
3.27.02.2.02	Pengelolaan Sumber Daya Genetik (SDG) Hewan, Tumbuhan, dan Mikro Organisme Kewenangan Kabupaten/Kota
3.27.02.2.03	Peningkatan Mutu dan Peredaran Benih/Bibit Ternak dan Tanaman Pakan Ternak serta Pakan dalam Daerah Kabupaten/Kota
3.27.02.2.04	Pengawasan Obat Hewan di Tingkat Pengecer
3.27.03.2.01	Pengembangan Prasarana Pertanian
3.27.03.2.02	Pembangunan Prasarana Pertanian
3.27.03.2.03	Pengelolaan Wilayah Sumber Bibit Ternak dan Rumpun/Galur Ternak dalam Daerah Kabupaten/ Kota
3.27.04.2.01	Penjaminan Kesehatan Hewan, Penutupan dan Pembukaan Daerah Wabah Penyakit Hewan Menular Dalam daerah Kabupaten/Kota
3.27.04.2.03	Pengelolaan Pelayanan Jasa Laboratorium dan Jasa Medik Veteriner dalam Daerah Kabupaten/Kota
3.27.04.2.04	Penerapan dan Pengawasan Persyaratan Teknis Kesehatan Masyarakat Veteriner
3.27.05.2.01	Pengendalian dan Penanggulangan Bencana Pertanian Kabupaten/Kota
3.27.07.2.01	Pelaksanaan Penyuluhan Pertanian
3.27.01.2.01	Perencanaan, Penganggaran, dan Evaluasi Kinerja Perangkat Daerah
3.27.01.2.02	Administrasi Keuangan Perangkat Daerah
3.27.01.2.03	Administrasi Barang Milik Daerah pada Perangkat Daerah
3.27.01.2.06	Administrasi Umum Perangkat Daerah
3.27.01.2.08	Penyediaan Jasa Penunjang Urusan Pemerintahan Daerah
3.27.01.2.09	Pemeliharaan Barang Milik Daerah Penunjang Urusan Pemerintahan Daerah
2.17.03.2.01	Pemeriksaan dan Pengawasan Koperasi, Koperasi Simpan Pinjam/Unit Simpan Pinjam Koperasi yang Wilayah Keanggotaannya dalam Daerah Kabupaten/ Kota
2.17.04.2.01	Penilaian Kesehatan Koperasi Simpan Pinjam/Unit Simpan Pinjam Koperasi yang Wilayah Keanggotaanya dalam 1 (Satu) Daerah Kabupaten/Kota
2.17.05.2.01	Pendidikan dan Latihan Perkoperasian Bagi Koperasi yang Wilayah Keanggotaan dalam Daerah Kabupaten/Kota
2.17.06.2.01	Pemberdayaan dan Perlindungan Koperasi yang Keanggotaannya dalam Daerah Kabupaten/Kota
2.17.07.2.01	Pemberdayaan Usaha Mikro yang Dilakukan Melalui Pendataan, Kemitraan, Kemudahan Perizinan, Penguatan Kelembagaan dan Koordinasi dengan Para Pemangku Kepentingan
2.17.08.2.01	Pengembangan Usaha Mikro dengan Orientasi Peningkatan Skala Usaha Menjadi Usaha Kecil
3.30.03.2.01	Pembangunan dan Pengelolaan Sarana Distribusi Perdagangan
3.30.03.2.02	Pembinaan Terhadap Pengelola Sarana Distribusi Perdagangan Masyarakat di Wilayah Kerjanya
3.30.04.2.02	Pengendalian Harga, dan Stok Barang Kebutuhan Pokok dan Barang Penting di Tingkat Pasar Kabupaten/Kota
3.30.05.2.01	Penyelenggaraan Promosi Dagang Melalui Pameran Dagang dan Misi Dagang bagi Produk Ekspor Unggulan yang Terdapat pada 1 (Satu) Daerah Kabupaten/Kota
3.30.06.2.01	Pelaksanaan Metrologi Legal, Berupa Tera, Tera Ulang, dan Pengawasan
3.30.07.2.01	Pelaksanaan Promosi, Pemasaran dan Peningkatan Penggunaan Produk Dalam Negeri
